spotify_id,name,artists,artists_ids,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),Jung Kook,6HaGTQPmzraVmaVxvz6EUc,1,0,0,VN,2024-11-01,84,True,183550,GOLDEN,2023-11-03,0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,4
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,1oSPZhvZMIrWW5I41kPkkY,2,0,1,VN,2024-11-01,92,False,170887,MUSE,2024-07-19,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,4
2KslE17cAJNHTsI2MI0jb2,Standing Next to You,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,3,0,1,VN,2024-11-01,90,False,206019,GOLDEN,2023-11-03,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,4
5vNRhkKd0yEAg8suGBpjeY,APT.,ROSÉ,3eVa5w3URK5duf6eyVDbu9,4,0,-2,VN,2024-11-01,96,False,169917,APT.,2024-10-18,0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,4
41DlPJXKTCypXdf2eSqa03,Bình Yên,Vũ.,57g2v7gJZepcwsuwssIfZs,5,0,0,VN,2024-11-01,65,False,195974,Bảo Tàng Của Nuối Tiếc,2024-09-27,0.677,0.526,1,-8.375,1,0.0435,0.787,1.92e-05,0.0855,0.217,121.969,4
3COYA2vgfcUhDyRlVpZy5p,PHÓNG ZÌN ZÌN,tlinh,3diftVOq7aEIebXKkC34oR,6,0,0,VN,2024-11-01,69,False,202999,FLVR,2024-09-18,0.717,0.693,5,-6.808,0,0.0646,0.185,0.00171,0.164,0.445,101.996,4
2Qcbspnftnon37jibwyvMU,I'll Be There,Jin,5vV3bFXnN6D6N3Nj4xRvaV,7,6,43,VN,2024-11-01,85,False,181677,I'll Be There,2024-10-25,0.538,0.738,10,-2.412,1,0.0445,0.0351,0.0,0.0898,0.736,148.887,4
2oVLEoBVDvYrGmzrU7dEm5,TRÀN BỘ NHỚ (feat. Dương Domic),"ANH TRAI ""SAY HI""",4wZ6awunqaaVLl5j0WpDFu,8,0,0,VN,2024-11-01,66,False,210000,"ANH TRAI ""SAY HI"", Chung Kết 1",2024-08-31,0.587,0.635,6,-6.275,1,0.0446,0.289,0.0,0.113,0.237,127.871,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,9,0,0,VN,2024-11-01,100,False,251667,Die With A Smile,2024-08-16,0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,3
3uT8QfoX0BE8ZJa4h98LDW,Wrong Times,Puppy,2dC1IBU9NOD9xsQJ5RE7j7,10,0,0,VN,2024-11-01,66,False,211200,Wrong Times,2023-05-17,0.809,0.42,8,-14.145,1,0.319,0.654,2.91e-06,0.116,0.521,148.048,4
