id,name,genre,popularity
006RBJU7ScwRg9eouP4kJw,NICKY,v-pop,54
01mNGTR498XaGe3xs1Otrz,GDucky,vietnamese-hip-hop,43
05xxXziuRhVsmlSjTD4Soh,Kuun Đức Nam,viet-chill-rap,45
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,100
0CO1IZAPmgTbkfXvcRCLsL,BAN,"vietnamese-hip-hop,vietnamese-melodic-rap",52
0KWdVd7ZYhtlm0CLHIFBya,Bằng Kiều,v-pop,52
0LOK81e9H5lr61HlGGHqwA,XG,k-pop-girl-group,72
0V2DfUrZvBuUReS1LFo5ZI,Ngọt,"indie-viet,rock-viet,v-pop",58
0WwKxmZjmKUp9y0Jg1LWk1,Beat Record,,17
0XtC2d9ZVigYA7iMy5YkW0,2pillz,viet-chill-rap,57
0ZbgKh0FgPYeFP38nVaEGp,Obito,"v-pop,vietnamese-hip-hop,vietnamese-melodic-rap",61
0aNyWetkjBvIdZvJY00yEa,Phan Mạnh Quỳnh,"v-pop,vietnamese-singer-songwriter",49
0b1sIQumIAsNbqAoIClSpy,j-hope,"k-pop,k-rap",74
0dBcEvEklr1jx4uZuhFX5e,Ronboogz,"v-pop,r&b",60
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,"dance-pop,pop",96
0gGd4WhPXBSgDX6fdOHcOw,Rhymastic,"v-pop,vietnamese-hip-hop,vietnamese-melodic-rap",57
0gsqfuR0OFF5SSai7lsPrj,Drum7,"v-pop,viet-edm",46
0hy8mfXxfD8kQ6MRQkDVrn,itsnk,vietnamese-hip-hop,57
0iqum9KAHh3LkgDhuqvTxM,Song Luân,v-pop,59
0qAJ604EZMbkbpZ9NN6W6d,WOKEUP,"v-pop,vietnamese-hip-hop,vietnamese-melodic-rap",51
0r63ReVRjxrS4ATbLrdcrL,Hoàng Thùy Linh,v-pop,54
0slOzRzTQb1RBBVJbvRITP,Quang Hùng MasterD,v-pop,63
0tkHE1pQ5ZCgQb8WZ0ba79,Gaeko,"k-rap,korean-r&b",65
0wATZebE9ZNj7fTjTdwiJB,Kewtiie,vietnamese-hip-hop,52
0zo8kCJVktn7oPnzpkbC2p,14 Casper,"v-pop,viet-lo-fi",53
13c4ijEkXNvEFoxGxwp5Su,Pháp Kiều,v-pop,63
