id,name,genre,popularity
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,"art-pop,pop",92
027TpXKGwdXP7iwbjUSpV8,The Walters,"chicago-indie,pov:-indie",73
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,100
06nvjg4wBANK6DCHjqtPNd,Mahmood,"italian-adult-pop,italian-pop",66
08PvCOlef4xdOr20jFSTPd,Flo Milli,viral-rap,74
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,"pop,post-teen-pop",83
0ECwFtbIWEVNwjlrfc6xoL,Eagles,"album-rock,classic-rock,heartland-rock,mellow-gold,rock,soft-rock,yacht-rock",77
0EmeFodog0BfCgMzAIvKQp,Shakira,"colombian-pop,dance-pop,latin-pop,pop",88
0FvHxb8a4I0A2i8jKCsFei,Oscar Ortiz,corrido,66
0HS96tPggl2nwiz3gNWWI5,Mitchell Ayres & His Orchestra,man's-orchestra,57
0HU0U9kdXEHZVxUNbuQe8S,Donny Hathaway,"chicago-soul,classic-soul,funk,neo-soul,quiet-storm,soul,southern-soul",57
0JXiS2FrAg3wQYJHcmZdrc,B. Swanson Quartet,,52
0LyfQWJT6nXafLPZqxe9Of,Various Artists,,0
0MHgLfmQdutffmvWe5XBTN,Burl Ives,"adult-standards,american-folk-revival",57
0NyzfcGDZZ6GM25EBG9BYK,Ray Parker Jr.,theme,68
0PCCGZ0wGLizHt2KZ7hhA2,Artemas,,79
0Q8NcsJwoCbZOHHW63su5S,Mora,"trap-latino,urbano-latino",82
0VRj0yCOv2FXJNP47XQnx5,Quavo,"atl-hip-hop,melodic-rap,rap,trap",81
0WwKxmZjmKUp9y0Jg1LWk1,Beat Record,,17
0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,"corrido,corridos-tumbados,sad-sierreno,sierreno",79
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,"rap,slap-house",94
0b1sIQumIAsNbqAoIClSpy,j-hope,"k-pop,k-rap",74
0c173mlxpT3dSFRgMO8XPh,Big Sean,"detroit-hip-hop,hip-hop,pop-rap,r&b,rap,southern-hip-hop,trap",78
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,"dance-pop,pop",96
0elWFr7TW8piilVRYJUe4P,Natanael Cano,"corrido,corridos-tumbados,musica-mexicana,sad-sierreno,sierreno",89
0fGcIStdT1OpFFhOC7Wp36,Teezo Touchdown,,75
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,"hip-pop,pop,queens-hip-hop,rap",87
0i1s9WcIu0PrUvHzALgofo,Seu Jorge,"mpb,samba-rock",70
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,rap,90
0jPHHnU8GUWEF7rwPE9osY,Jordan Adetunji,irish-hip-hop,73
0jbo7KFNMiIkfBR6ih0yhm,iñigo quintero,,68
0mA4dkNGiN4fqTBi2SLlAv,Edgardo Nuñez,"corrido,corridos-tumbados,sad-sierreno,sierreno",73
0n4Fao9kbjgM76RmVlfSwr,YG Marley,,65
0oK8UXKZbQezeRhE0KeBAV,Henri René and His Orchestra,man's-orchestra,54
0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,"corrido,sad-sierreno,sierreno",87
0sKsReKseslDlhxmbN6wLk,BabyTron,"detroit-hip-hop,scam-rap",70
0tkHE1pQ5ZCgQb8WZ0ba79,Gaeko,"k-rap,korean-r&b",65
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,"colombian-pop,latin-pop,reggaeton,reggaeton-colombiano,trap-latino,urbano-latino",84
0wi4yTYlGtEnbGo4ltZTib,Shakin' Stevens,"classic-uk-pop,rockabilly",57
0xj9MJx9r0wO2o4aqdergP,DJ TOPO,"deboxe,funk-mtg,rave-funk",72
0xliTEbFfy5HQHvsTknTkX,Alphaville,"new-romantic,new-wave-pop,synthpop",75
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,"corrido,corridos-tumbados,sad-sierreno,sierreno",91
10exVja0key0uqUkk6LJRT,Vance Joy,"folk-pop,modern-rock",78
11kt6ggsdxvI8MhyeSMKom,CYRIL,,80
11p2E654TTU8e0nZWBR4AL,Mark Ambor,singer-songwriter-pop,75
124jbwgd8Hh6LW7jAqTa8r,Agatino Romero,,66
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,"corridos-tumbados,sad-sierreno",93
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,"atl-hip-hop,dirty-south-rap,hip-hop,pop-rap,rap,southern-hip-hop,trap",78
163tK9Wjr9P9DmM0AVK7lm,Lorde,"art-pop,metropopolis,nz-pop,pop",78
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,"houston-rap,pop,rap,trap-queen",83
18dspUI6gqabm5XCC2RcUD,SOG,reggaeton-colombiano,69
19HM5j0ULGSmEoRcrSe5x3,Milo j,"trap-argentino,trap-latino,urbano-latino",83
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,"country-rap,modern-country-pop,nashville-hip-hop,tennessee-hip-hop",83
1AwO9pWEBSBoWdEZu28XDC,Eartha Kitt,"torch-song,vocal-jazz",58
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,"big-room,dance-pop,edm,pop,pop-dance",90
1Do4bSzfUl0KWL9r1fITu0,YOON MIRAE,"k-pop,korean-ost,korean-pop,korean-r&b",65
1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,"adult-standards,canadian-pop,jazz-pop,lounge",78
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"art-pop,dance-pop,pop",92
1K7IC4qha4KEXySo6yZmnH,Michelangelo,,60
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,pop,89
1Ml4OuStDoympbREURAM15,The Fontane Sisters,"deep-adult-standards,vocal-harmony-group",56
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,"adult-standards,easy-listening,lounge",80
1QsdzIKkTT5gDFj8GB1cIX,Yseult,"french-pop,r&b-francais",74
1RyvyyTE3xzB2ZywiAwp0i,Future,"atl-hip-hop,hip-hop,rap,southern-hip-hop,trap",93
1SIocsqdEefUTE6XKGUiVS,BABYMONSTER,5th-gen-k-pop,77
1TA5sGRlKUJXBN4ZyJuDIX,Blessd,"reggaeton,urbano-latino",82
1TtXnWcUs0FCkaZDPGYHdf,Darell,"latin-hip-hop,reggaeton,trap-latino,urbano-latino",78
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,colombian-pop,86
1URnnhqYAYcrqrcwql10ft,21 Savage,"atl-hip-hop,hip-hop,rap",89
1UTPBmNbXNTittyMJrNkvw,Blake Shelton,"classic-oklahoma-country,contemporary-country,country,country-road",73
1WaFQSHVGZQJTbf0BdxdNo,Tommy Richman,chill-abstract-hip-hop,79
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"canadian-contemporary-r&b,canadian-pop,pop",96
1Yj5Xey7kTwvZla8sqdsdE,Cris Mj,"mambo-chileno,trap-latino,urbano-chileno,urbano-latino",88
1bfl0AU8SqmLkElptOprhC,Julión Álvarez y su Norteño Banda,"banda,musica-mexicana,norteno,sad-sierreno",85
1c3uso4iIeeX3P0bhKaQDq,Jaxomy,,67
1dKdetem2xEmjgvyymzytS,Grupo Firme,"banda,musica-mexicana,norteno,sierreno",81
1dfeR4HaWDbWqFHLkxsg1d,Queen,"classic-rock,glam-rock,rock",86
1eIYP01ZLPKEExhcV6xFgt,Grelo,,72
1fctva4kpRbg2k3v7kwRuS,Rvssian,"reggaeton,reggaeton-flow,trap-latino,urbano-latino",75
1gW6pz5n1aK249L0GvfQCC,Grupo Marca Registrada,"corrido,norteno,sad-sierreno",80
1iCnM8foFssWlPRLfAbIwo,Gigi Perez,bedroom-pop,80
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,"puerto-rican-pop,reggaeton,trap-latino,urbano-latino",90
1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,"baroque-pop,modern-rock,neo-mellow,uk-alternative-pop",79
1mpOD8ZwHnbsryIuXWq0R1,Zeynep Bastık,turkish-pop,64
1ncWEkB4AQh1rxC8ObpBoH,Baby Lasagna,,52
1oSPZhvZMIrWW5I41kPkkY,Jimin,k-pop,88
1pBLC0qVRTB5zVMuteQ9jJ,Lily-Rose Depp,pop,77
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,"atl-hip-hop,melodic-rap,plugg,rap,trap",69
1pi7nGhOM7PTHR5YEgXVGq,Villano Antillano,"rap-boricua,urbano-latino",67
1r4hJ1h58CWwUQe3MxPuau,Maluma,"latin-pop,reggaeton,reggaeton-colombiano,trap-latino,urbano-latino",86
1tuNNda2SSH3o4lUms5K6C,Sebastian Esquivel,corrido,62
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"canadian-pop,pop",91
1vaQ6v3pOFxAIrFoPrAcom,Ari Lennox,alternative-r&b,62
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,"dance-pop,pop,pop-rap",81
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,canadian-contemporary-r&b,87
22wbnEMDvgVIAGdFeek6ET,Benson Boone,singer-songwriter-pop,86
23zg3TcAtWQy7J6upgbUnj,USHER,"atl-hip-hop,contemporary-r&b,dance-pop,pop,r&b,rap,south-carolina-hip-hop,urban-contemporary",83
246dkjvS1zLTtiykXe5h60,Post Malone,"dfw-rap,melodic-rap,pop,rap",91
250b0Wlc5Vk0CoUsaCY84M,JENNIE,k-pop,83
25uiPmTg16RbhZWAqwLBy5,Charli xcx,"art-pop,candy-pop,metropopolis,pop,uk-pop",89
26AHtbjWKiwYzsoGoUZq53,Pentatonix,"a-cappella,viral-pop",68
26VEPCGAYB9OClQodb0OR1,Tiera Kennedy,black-americana,49
26WKgv73kRHD0gEDKD1i8j,Keinemusik,melodic-house,78
26dSoYclwsYLMAKD3tpOr4,Britney Spears,"dance-pop,pop",83
27LlKWxS3KXW7RRAxN5S8s,Geolier,"italian-hip-hop,italian-pop,rap-napoletano,trap-italiana",79
293zczrfYafIItmnmM3coR,Chuck Berry,"blues,blues-rock,classic-rock,rock,rock-and-roll,rockabilly,soul",69
2AUT4fNQ2QC0e2f5pIxOCd,Dem Jointz,,54
2CKOmarVWvWqkNWUatHCex,Ana Castela,"agronejo,sertanejo,sertanejo-pop,sertanejo-universitario",81
2DFCHTDIA0t638a4mm37dK,Raj Shekhar,modern-bollywood,67
2DaxqgrOhkeH0fpeiQq2f4,Oasis,"beatlesque,britpop,madchester,permanent-wave,rock",82
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,"kentucky-hip-hop,r&b,rap",83
2FXC3k01G6Gw61bmprjgqS,Hozier,"irish-singer-songwriter,modern-rock,pop,pov:-indie",86
